id,symbol,contract,right,strike,expiry,qty,entry_time,entry_price,underlying_at_entry,entry_reason,exit_time,exit_price,exit_reason,cost,proceeds,fees,pnl,pnl_pct,signal_symbol,setup,stop_at_entry,stop_final,spread_at_entry,event_day,exit_basis,conviction,bb_pct,bb_squeeze,vs_dow_30m
c4bc1a41,QQQ,QQQ260924C00737000,C,737.0,2026-09-24,2,2026-09-24T14:51:01.238419+00:00,2.02,737.3699951171875,swing L1015,2026-09-24T14:55:01.103209+00:00,0.8515252685546876,backstop,404.00,170.31,2.72,-236.41,-0.5852,QQQ,L1015,736.3499755859375,736.3499755859375,0.01,,estimated,decent 1/4,,,0.059
bba2051e,SPY,SPY260924C00767000,C,767.0,2026-09-24,3,2026-09-24T16:40:01.745294+00:00,1.21,766.8499755859375,swing L1145,2026-09-24T16:56:01.764429+00:00,1.94,target,363.00,582.00,4.08,214.92,0.5921,SPY,L1145,765.7609755859374,765.7609755859374,0.02,,quote,decent 2/4,1.284,False,0.007
9a344f0c,QQQ,QQQ260924C00739000,C,739.0,2026-09-24,2,2026-09-24T16:40:02.458585+00:00,1.63,739.1799926757812,swing L1145,2026-09-24T17:01:01.382765+00:00,2.2476965332031247,runner_floor,326.00,449.54,2.72,120.82,0.3706,QQQ,L1145,737.7960304116303,737.7960304116303,0.01,,estimated,decent 2/4,1.349,False,0.117
